".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","stim"
"measurement","hit_1kHz","miss_1kHz",0.0433521028791881,0.390168925912693,"0.0434","ns.","T-test",1.5,"avrec_rms.stim.1"
"measurement","hit_1kHz","hit_4kHz",0.720375587607347,1,"0.7204","ns.","T-test",1.75,"avrec_rms.stim.1"
"measurement","hit_1kHz","miss_4kHz",0.0194048534763037,0.213453388239341,"0.0194","ns.","T-test",2,"avrec_rms.stim.1"
"measurement","miss_1kHz","hit_4kHz",0.0244134471807971,0.244134471807971,"0.0244","ns.","T-test",2.25,"avrec_rms.stim.1"
"measurement","miss_1kHz","miss_4kHz",0.242658427316059,1,"0.2427","ns.","T-test",2.5,"avrec_rms.stim.1"
"measurement","hit_4kHz","miss_4kHz",0.00551850200802593,0.0662220240963112,"0.0055","ns.","T-test",2.75,"avrec_rms.stim.1"
"measurement","hit_1kHz","miss_1kHz",9.97780347269329e-05,0.00196137892223488,"1.0e-04","**","T-test",1.5,"avrec_rms.stim.2"
"measurement","hit_1kHz","hit_4kHz",0.194750337931634,1,"0.19475","ns.","T-test",1.75,"avrec_rms.stim.2"
"measurement","hit_1kHz","miss_4kHz",1.36164803930923e-06,3.26795529434214e-05,"1.4e-06","***","T-test",2,"avrec_rms.stim.2"
"measurement","miss_1kHz","hit_4kHz",8.27508109364649e-05,0.00182051784060223,"8.3e-05","**","T-test",2.25,"avrec_rms.stim.2"
"measurement","miss_1kHz","miss_4kHz",0.248146701119345,1,"0.24815","ns.","T-test",2.5,"avrec_rms.stim.2"
"measurement","hit_4kHz","miss_4kHz",0.000129529116036536,0.00233152408865764,"0.00013","**","T-test",2.75,"avrec_rms.stim.2"
"measurement","hit_1kHz","miss_1kHz",0.000235798018295532,0.00330117225613745,"0.00024","**","T-test",1.5,"avrec_rms.stim.3"
"measurement","hit_1kHz","hit_4kHz",0.783996474121414,1,"0.78400","ns.","T-test",1.75,"avrec_rms.stim.3"
"measurement","hit_1kHz","miss_4kHz",9.8068946111744e-05,0.00196137892223488,"9.8e-05","**","T-test",2,"avrec_rms.stim.3"
"measurement","miss_1kHz","hit_4kHz",1.26764427905695e-05,0.000291558184183099,"1.3e-05","***","T-test",2.25,"avrec_rms.stim.3"
"measurement","miss_1kHz","miss_4kHz",0.360125351212703,1,"0.36013","ns.","T-test",2.5,"avrec_rms.stim.3"
"measurement","hit_4kHz","miss_4kHz",8.78949894065639e-05,0.00184579477753784,"8.8e-05","**","T-test",2.75,"avrec_rms.stim.3"
"measurement","hit_1kHz","miss_1kHz",0.000141922799738094,0.0024126875955476,"0.00014","**","T-test",1.5,"avrec_rms.stim.4"
"measurement","hit_1kHz","hit_4kHz",0.955521863886877,1,"0.95552","ns.","T-test",1.75,"avrec_rms.stim.4"
"measurement","hit_1kHz","miss_4kHz",0.000187675328827745,0.00300280526124391,"0.00019","**","T-test",2,"avrec_rms.stim.4"
"measurement","miss_1kHz","hit_4kHz",0.000205609188917237,0.00308413783375855,"0.00021","**","T-test",2.25,"avrec_rms.stim.4"
"measurement","miss_1kHz","miss_4kHz",0.480465936552323,1,"0.48047","ns.","T-test",2.5,"avrec_rms.stim.4"
"measurement","hit_4kHz","miss_4kHz",0.000537193509983635,0.00698351562978725,"0.00054","**","T-test",2.75,"avrec_rms.stim.4"
